month,avg_sunrisetime,avg_sunsettime,avg_daytime,agg_solar_energy
1,7.221451612903226,16.767258064516128,9.545806451612902,264.1
2,6.758392857142857,17.377857142857142,10.619464285714285,431.4
3,6.590322580645161,18.56209677419355,11.971774193548388,557.1
4,6.151166666666667,19.531666666666666,13.3805,547.8
5,5.499032258064516,20.073064516129033,14.574032258064516,590.2
6,5.2588333333333335,20.433,15.174166666666666,653.2
7,5.497741935483871,20.355806451612903,14.858064516129032,290.3
8,5.990645161290322,19.793225806451613,13.80258064516129,246.9
9,6.516333333333334,18.969333333333335,12.453,168.5
10,7.067096774193549,18.118387096774192,11.051290322580645,94.3
11,6.875,16.69633333333333,9.821333333333333,99.5
12,7.17516129032258,16.360967741935482,9.185806451612903,82.2
