,month,day,temp,feelslike,humidity,windspeed,sunrisetime,sunsettime,daytimehour
0,1,1,30.8,22.3,82.8,22.3,7.3,16.5,9.2
7,1,8,33.8,25.1,70.3,16.9,7.28,16.62,9.34
14,1,15,34.6,29.2,80.9,10.4,7.25,16.73,9.48
21,1,22,19.0,7.3,50.6,19.7,7.18,16.88,9.7
28,1,29,25.6,20.0,56.1,12.0,7.08,17.03,9.95
35,2,5,13.5,-4.3,63.3,24.7,6.97,17.18,10.21
42,2,12,13.9,1.2,65.5,12.6,6.82,17.33,10.51
49,2,19,16.1,4.8,67.0,13.4,6.67,17.48,10.81
56,2,26,35.0,29.2,59.3,14.6,6.48,17.62,11.14
63,3,5,36.1,32.7,54.9,15.6,6.3,17.77,11.47
70,3,12,43.8,40.2,52.4,12.2,6.1,17.9,11.8
77,3,19,38.9,31.8,45.9,21.0,6.9,19.03,12.13
84,3,26,39.1,34.2,79.1,23.0,6.7,19.15,12.45
91,4,2,39.2,35.7,40.3,14.5,6.52,19.28,12.76
98,4,9,55.9,55.9,71.6,18.2,6.32,19.42,13.1
105,4,16,45.5,42.7,65.4,11.1,6.13,19.55,13.42
112,4,23,53.2,51.8,40.9,14.8,5.95,19.67,13.72
119,4,30,50.1,48.6,55.0,25.4,5.78,19.8,14.02
126,5,7,49.1,46.8,55.4,16.7,5.63,19.93,14.3
133,5,14,60.7,60.5,31.5,12.9,5.52,20.05,14.53
140,5,21,76.5,76.3,53.6,16.8,5.4,20.17,14.77
147,5,28,47.4,41.0,79.3,23.2,5.32,20.27,14.95
154,6,4,80.5,79.3,35.9,19.3,5.27,20.35,15.08
161,6,11,82.2,83.1,56.6,9.6,5.25,20.42,15.17
168,6,18,81.2,81.7,53.6,15.9,5.25,20.47,15.22
175,6,25,73.3,73.3,84.4,18.7,5.27,20.48,15.21
182,7,2,66.6,66.6,61.6,10.2,5.32,20.48,15.16
189,7,9,68.2,68.2,56.2,11.1,5.4,20.45,15.05
196,7,16,69.7,69.7,79.7,14.4,5.48,20.38,14.9
203,7,23,81.9,83.6,65.8,12.9,5.58,20.28,14.7
210,7,30,69.9,69.9,60.3,17.8,5.7,20.17,14.47
217,8,6,76.6,77.2,61.5,16.8,5.82,20.03,14.21
224,8,13,75.9,75.9,57.0,9.6,5.93,19.88,13.95
231,8,20,80.7,82.1,66.9,11.5,6.07,19.7,13.63
238,8,27,82.5,85.3,65.5,11.5,6.18,19.52,13.34
245,9,3,70.6,70.6,58.4,12.1,6.3,19.33,13.03
252,9,10,70.3,70.3,52.2,11.8,6.42,19.13,12.71
259,9,17,75.7,75.2,57.5,14.6,6.55,18.93,12.38
266,9,24,66.0,66.0,48.4,19.9,6.67,18.72,12.05
273,10,1,72.7,72.8,56.4,10.2,6.78,18.52,11.74
280,10,8,67.7,67.7,79.5,9.5,6.92,18.32,11.4
287,10,15,57.6,57.6,69.3,13.7,7.05,18.13,11.08
294,10,22,49.3,47.7,58.3,9.8,7.18,17.95,10.77
301,10,29,54.3,54.3,90.8,22.5,7.32,17.8,10.48
308,11,5,42.4,39.1,55.9,12.6,7.47,17.65,10.18
315,11,12,38.6,30.5,72.1,20.4,6.6,16.53,9.93
322,11,19,34.2,27.8,52.5,13.9,6.75,16.43,9.68
329,11,26,25.4,17.6,48.5,19.9,6.88,16.37,9.49
336,12,3,45.1,41.5,64.5,11.1,7.02,16.32,9.3
343,12,10,43.9,41.1,78.0,20.6,7.12,16.32,9.2
350,12,17,35.1,29.0,61.1,13.6,7.2,16.33,9.13
357,12,24,48.4,46.6,82.9,14.6,7.27,16.4,9.13
364,12,31,39.7,34.8,79.2,13.0,7.3,16.48,9.18
