name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chicago,2010-01-01,17.1,5.9,11,5,-8.4,-2.3,3,69.8,0,0,0,,,2,,13.2,296.7,1027.3,38.3,9.4,76.1,6.6,3,,2010-01-01T07:18:22,2010-01-01T16:30:09,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2010-01-02,11.5,2.5,6.7,-1.2,-13.5,-8.7,-3.4,63.1,0,0,0,,,2,25.3,14.9,317.8,1031.7,24.3,9.8,97.6,8.5,4,,2010-01-02T07:18:26,2010-01-02T16:31:02,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2010-01-03,17.7,0.6,9.4,5.6,-14,-4.9,0.3,66,0,0,0,,,2,21.9,15,319.3,1031.6,52.2,9.6,88,7.6,4,,2010-01-03T07:18:28,2010-01-03T16:31:56,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2010-01-04,18.7,8.4,13.7,6.1,-6.3,0.3,5.6,69.8,0,0,0,,,2,19.5,14.5,312.5,1026.6,92.6,9.7,44,3.5,2,,2010-01-04T07:18:27,2010-01-04T16:32:51,0.6,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2010-01-05,22.8,14.9,17.7,11,3.4,6.5,9.8,70.8,0,0,0,,,2,,13.6,299.9,1024.1,91.8,9.6,67.5,5.8,3,,2010-01-05T07:18:25,2010-01-05T16:33:49,0.65,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2010-01-06,22,9.3,15.9,18.3,-0.7,7.8,9.8,76.4,0.003,100,4.17,snow,,1.7,,7.3,280.7,1023.7,70,9.1,87.5,7.6,4,,2010-01-06T07:18:19,2010-01-06T16:34:47,0.7,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2010-01-07,20.5,15.7,18,19.6,6.2,11.6,14.1,84.5,0.205,100,62.5,snow,,3,,10.8,280.6,1016.2,100,1.9,27.3,2.3,1,,2010-01-07T07:18:12,2010-01-07T16:35:47,0.76,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2010-01-08,26,14.7,21.4,14.3,3.5,9.3,14.3,73.9,0.093,100,20.83,snow,,5.9,27.7,20.7,338,1024.7,97.4,7.8,62.4,5.4,3,,2010-01-08T07:18:02,2010-01-08T16:36:49,0.81,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2010-01-09,22.5,8.1,14.6,14.1,-5.9,3.4,5.8,68,0,0,0,,,5.6,,10.9,311.4,1033.1,73.3,9.9,90.6,7.9,4,,2010-01-09T07:17:50,2010-01-09T16:37:52,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2010-01-10,17.6,-0.2,9,4.9,-14.4,-4.5,1.7,72.2,0,0,0,,,5.3,25.9,17.2,225.7,1030,59.4,9.8,103.3,8.9,4,,2010-01-10T07:17:35,2010-01-10T16:38:56,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2010-01-11,26.5,17.1,21.8,15.4,3,10,13.2,69.3,0,0,0,,,4.6,26.4,17,317.9,1023.2,97.3,9,51.5,4.5,2,,2010-01-11T07:17:19,2010-01-11T16:40:01,0.94,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2010-01-12,30.7,20.7,25.6,25,11.1,17,18.5,74.3,0,0,0,,,4.2,19.5,13.6,289.3,1030.5,74.5,9.1,63.1,5.5,3,,2010-01-12T07:16:59,2010-01-12T16:41:07,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2010-01-13,34.4,18.3,26.4,25.1,5.7,15.9,18.9,73.3,0,0,0,,,3.9,23,14.6,211.9,1021.7,8.1,9.4,112.4,9.7,5,,2010-01-13T07:16:38,2010-01-13T16:42:14,0.99,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2010-01-14,39.5,30.2,35.2,32.6,20.3,27.6,28.3,75.8,0,0,0,,,3.2,21.2,13.2,228.5,1017.8,78.5,9,31.4,2.6,1,,2010-01-14T07:16:14,2010-01-14T16:43:23,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2010-01-15,33.7,25.8,30.2,33.6,15.3,25.3,26.4,86,0,0,0,,,1.6,,11.3,295.2,1025.1,100,3.9,88.4,7.7,4,,2010-01-15T07:15:48,2010-01-15T16:44:32,0,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2010-01-16,27.5,24.2,25.6,20.3,13.9,17.5,22.3,86.8,0,0,0,,,2,,10.5,233.9,1022.8,100,3.4,96.8,8.3,5,,2010-01-16T07:15:20,2010-01-16T16:45:42,0.01,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2010-01-17,33.3,20.7,25.9,28.2,14.2,20.5,23.1,89.3,0,0,0,,,2,,9.7,269.4,1013.1,95.5,3.2,104.1,8.9,4,,2010-01-17T07:14:50,2010-01-17T16:46:53,0.02,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2010-01-18,30.6,27.9,28.9,26,19,22.1,26.5,90.8,0,0,0,,,2,,10,273.6,1015.3,99.9,3,67.1,5.9,3,,2010-01-18T07:14:17,2010-01-18T16:48:05,0.04,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2010-01-19,36.3,26,30.5,36.3,21.2,27.2,22.6,72.9,0,0,0,,,2,,7.7,346.7,1016.6,77,9.1,114.7,9.9,5,,2010-01-19T07:13:42,2010-01-19T16:49:17,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2010-01-20,32.9,28.6,30.9,28.6,18.1,21.1,23.7,74.3,0.023,100,8.33,"rain,snow",,2,29.4,18.9,86.2,1015.7,95.5,9.6,52.4,4.5,2,,2010-01-20T07:13:05,2010-01-20T16:50:31,0.11,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
