name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chicago,2021-01-01,35.2,24,30.8,27.2,17.2,22.3,26.2,82.8,0.27,100,45.83,"rain,snow",0,0,32.4,22.3,50.9,1017.7,94.9,5.1,14.1,1.1,1,,2021-01-01T07:18:23,2021-01-01T16:30:27,0.53,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72534014819,KORD,KMDW,72530094846,F7086,74466504838,KPWK,D6362"
chicago,2021-01-02,35.6,29.9,33,33.8,21.4,27.1,29,85.2,0,0,0,,1.9,1.1,,12.3,2.9,1017.8,99.9,5.8,43.1,3.8,3,,2021-01-02T07:18:27,2021-01-02T16:31:20,0.56,Overcast,Cloudy skies throughout the day.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2021-01-03,33.9,27.5,31.7,32.4,19,25.7,27.7,85.4,0.03,100,12.5,"rain,snow",0.2,1.9,,9.3,275.9,1015.8,99.8,5.9,21.2,1.8,1,,2021-01-03T07:18:28,2021-01-03T16:32:14,0.6,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"72534014819,AP878,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2021-01-04,30,25.1,27.3,22.2,15.5,19,24.3,88.3,0,0,0,,0,2,18.3,12.2,219.4,1016.2,98.2,3.7,41.4,3.5,2,,2021-01-04T07:18:27,2021-01-04T16:33:10,0.65,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2021-01-05,35.8,29.1,32.4,32.6,21,27.1,27.6,82.4,0,0,0,,0,1.9,,10.1,296.4,1020.2,99,7.1,43.3,3.7,2,,2021-01-05T07:18:23,2021-01-05T16:34:08,0.7,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2021-01-06,39.2,29.8,34.4,35.1,25.1,30.6,27.9,77.3,0,0,0,,0,1.5,,7.9,51.9,1028.2,91.9,6.4,79.1,6.8,4,,2021-01-06T07:18:17,2021-01-06T16:35:07,0.76,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2021-01-07,37.9,34.9,36.6,32.4,27.6,29.9,25.1,63,0,0,0,,0,1,,13.8,56.5,1028.2,99.7,9.7,20.9,1.8,1,,2021-01-07T07:18:09,2021-01-07T16:36:08,0.82,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2021-01-08,36.1,30.5,33.8,29.4,21.6,25.1,25.2,70.3,0,0,0,,0,0.4,25.1,16.9,14.4,1025.4,99.7,9.3,29.4,2.5,2,,2021-01-08T07:17:58,2021-01-08T16:37:10,0.87,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2021-01-09,37.5,27.6,32,32.9,21.1,25.5,22.3,67.4,0,0,0,,0,0.4,18.3,11.1,345.7,1026.6,86.6,9.9,76.4,6.6,4,,2021-01-09T07:17:45,2021-01-09T16:38:13,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F7086,74466504838,KPWK,D6362"
chicago,2021-01-10,30.3,25.8,28.4,28.8,16.7,22.9,20.5,72.1,0,0,0,,0,0.4,,8.9,277.8,1027.7,97.3,9.9,29.2,2.5,1,,2021-01-10T07:17:30,2021-01-10T16:39:17,0.96,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK,D6362"
