,datetime,month,windspeed,winddir
4018,2021-01-01,1,22.3,50.9
4019,2021-01-02,1,12.3,2.9
4020,2021-01-03,1,9.3,275.9
4021,2021-01-04,1,12.2,219.4
4022,2021-01-05,1,10.1,296.4
4023,2021-01-06,1,7.9,51.9
4024,2021-01-07,1,13.8,56.5
4025,2021-01-08,1,16.9,14.4
4026,2021-01-09,1,11.1,345.7
4027,2021-01-10,1,8.9,277.8
4028,2021-01-11,1,16.1,236.0
4029,2021-01-12,1,13.9,223.7
4030,2021-01-13,1,12.6,214.1
4031,2021-01-14,1,14.5,174.3
4032,2021-01-15,1,10.4,181.7
4033,2021-01-16,1,11.7,279.4
4034,2021-01-17,1,9.2,259.2
4035,2021-01-18,1,14.7,262.5
4036,2021-01-19,1,20.3,259.4
4037,2021-01-20,1,20.1,227.8
4038,2021-01-21,1,25.8,258.5
4039,2021-01-22,1,19.7,309.1
4040,2021-01-23,1,10.8,193.5
4041,2021-01-24,1,10.0,150.8
4042,2021-01-25,1,21.8,51.9
4043,2021-01-26,1,19.4,26.7
4044,2021-01-27,1,13.1,348.1
4045,2021-01-28,1,11.3,323.2
4046,2021-01-29,1,12.0,140.1
4047,2021-01-30,1,22.6,120.4
4048,2021-01-31,1,19.0,48.2
4049,2021-02-01,2,16.0,342.2
4050,2021-02-02,2,13.3,328.6
4051,2021-02-03,2,9.6,223.3
4052,2021-02-04,2,26.0,199.3
4053,2021-02-05,2,24.7,261.5
4054,2021-02-06,2,15.1,263.0
4055,2021-02-07,2,12.9,292.2
4056,2021-02-08,2,9.3,337.5
4057,2021-02-09,2,12.2,332.9
4058,2021-02-10,2,14.3,339.1
4059,2021-02-11,2,15.2,12.1
4060,2021-02-12,2,12.6,330.5
4061,2021-02-13,2,15.1,320.8
4062,2021-02-14,2,15.8,327.2
4063,2021-02-15,2,18.6,347.6
4064,2021-02-16,2,14.6,323.5
4065,2021-02-17,2,9.2,145.8
4066,2021-02-18,2,7.4,17.3
4067,2021-02-19,2,13.4,264.6
4068,2021-02-20,2,8.3,203.6
4069,2021-02-21,2,16.7,160.5
4070,2021-02-22,2,20.2,244.1
4071,2021-02-23,2,15.0,243.3
4072,2021-02-24,2,18.8,276.1
4073,2021-02-25,2,13.5,276.5
4074,2021-02-26,2,14.6,157.9
4075,2021-02-27,2,10.1,199.3
4076,2021-02-28,2,20.1,254.1
4077,2021-03-01,3,13.5,313.5
4078,2021-03-02,3,19.2,208.8
4079,2021-03-03,3,13.4,286.8
4080,2021-03-04,3,18.3,24.1
4081,2021-03-05,3,15.6,354.8
4082,2021-03-06,3,11.3,85.6
4083,2021-03-07,3,12.3,172.2
4084,2021-03-08,3,20.0,238.5
4085,2021-03-09,3,20.1,183.0
4086,2021-03-10,3,24.5,198.8
4087,2021-03-11,3,23.8,255.1
4088,2021-03-12,3,12.2,5.6
4089,2021-03-13,3,9.8,240.2
4090,2021-03-14,3,22.8,31.8
4091,2021-03-15,3,22.7,100.2
4092,2021-03-16,3,10.6,50.0
4093,2021-03-17,3,20.2,47.3
4094,2021-03-18,3,30.6,29.6
4095,2021-03-19,3,21.0,58.0
4096,2021-03-20,3,10.0,158.4
4097,2021-03-21,3,17.8,179.9
4098,2021-03-22,3,17.7,187.8
4099,2021-03-23,3,16.1,134.1
4100,2021-03-24,3,22.6,211.4
4101,2021-03-25,3,21.3,17.2
4102,2021-03-26,3,23.0,21.5
4103,2021-03-27,3,14.6,184.8
4104,2021-03-28,3,25.6,297.5
4105,2021-03-29,3,24.2,187.5
4106,2021-03-30,3,22.7,224.8
4107,2021-03-31,3,18.6,294.9
4108,2021-04-01,4,18.0,9.4
4109,2021-04-02,4,14.5,188.9
4110,2021-04-03,4,21.4,230.1
4111,2021-04-04,4,11.9,174.4
4112,2021-04-05,4,14.6,212.3
4113,2021-04-06,4,18.1,211.1
4114,2021-04-07,4,21.7,183.3
4115,2021-04-08,4,17.2,183.3
4116,2021-04-09,4,18.2,213.4
4117,2021-04-10,4,13.8,38.6
4118,2021-04-11,4,8.6,113.6
4119,2021-04-12,4,21.1,271.2
4120,2021-04-13,4,20.2,255.3
4121,2021-04-14,4,16.7,291.6
4122,2021-04-15,4,13.4,339.9
4123,2021-04-16,4,11.1,48.2
4124,2021-04-17,4,10.5,33.2
4125,2021-04-18,4,12.3,236.8
4126,2021-04-19,4,16.1,269.1
4127,2021-04-20,4,11.6,25.2
4128,2021-04-21,4,22.2,300.2
4129,2021-04-22,4,14.6,267.9
4130,2021-04-23,4,14.8,220.3
4131,2021-04-24,4,14.3,189.5
4132,2021-04-25,4,15.1,42.4
4133,2021-04-26,4,29.4,163.1
4134,2021-04-27,4,20.9,216.7
4135,2021-04-28,4,12.6,50.1
4136,2021-04-29,4,13.7,13.4
4137,2021-04-30,4,25.4,32.4
4138,2021-05-01,5,30.5,209.4
4139,2021-05-02,5,23.2,219.4
4140,2021-05-03,5,16.9,204.0
4141,2021-05-04,5,13.1,9.6
4142,2021-05-05,5,14.2,36.4
4143,2021-05-06,5,14.0,50.0
4144,2021-05-07,5,16.7,358.5
4145,2021-05-08,5,12.6,71.6
4146,2021-05-09,5,18.2,59.7
4147,2021-05-10,5,14.3,47.1
4148,2021-05-11,5,16.5,46.9
4149,2021-05-12,5,13.9,71.9
4150,2021-05-13,5,10.2,85.6
4151,2021-05-14,5,12.9,125.6
4152,2021-05-15,5,11.9,189.4
4153,2021-05-16,5,8.0,142.1
4154,2021-05-17,5,11.4,120.0
4155,2021-05-18,5,16.8,132.5
4156,2021-05-19,5,17.7,171.0
4157,2021-05-20,5,18.6,179.8
4158,2021-05-21,5,16.8,209.0
4159,2021-05-22,5,12.8,238.3
4160,2021-05-23,5,11.1,282.6
4161,2021-05-24,5,14.1,211.8
4162,2021-05-25,5,20.8,231.0
4163,2021-05-26,5,15.5,275.0
4164,2021-05-27,5,21.9,44.0
4165,2021-05-28,5,23.2,40.5
