month,direction,avg_windspeed,agg_windspeed
1,E,13.42,107.4
1,ENE,14.11,127.0
1,ESE,19.03,57.1
1,N,12.45,49.8
1,NE,15.64,250.2
1,NNE,15.92,238.8
1,NNW,16.33,473.7
1,NW,15.84,522.8
1,S,15.37,368.8
1,SE,11.74,93.9
1,SSE,13.96,181.5
1,SSW,17.66,600.3
1,SW,16.56,827.8
1,W,15.36,829.5
1,WNW,16.45,822.3
1,WSW,17.87,857.6
2,E,12.42,99.4
2,ENE,15.35,230.3
2,ESE,12.79,89.5
2,N,18.9,170.1
2,NE,18.68,224.1
2,NNE,16.18,355.9
2,NNW,15.02,360.4
2,NW,16.12,596.3
2,S,14.82,281.6
2,SE,14.49,144.9
2,SSE,17.1,153.9
2,SSW,17.02,527.6
2,SW,16.64,599.1
2,W,17.48,699.0
2,WNW,16.68,600.4
2,WSW,16.92,643.1
3,E,13.89,236.1
3,ENE,14.63,292.6
3,ESE,16.76,201.1
3,N,16.55,215.2
3,NE,15.59,763.8
3,NNE,17.85,964.0
3,NNW,15.01,210.1
3,NW,15.81,427.0
3,S,17.79,569.2
3,SE,14.35,143.5
3,SSE,13.11,118.0
3,SSW,18.15,726.0
3,SW,16.04,288.8
3,W,19.92,418.3
3,WNW,17.16,377.5
3,WSW,18.6,595.3
4,E,15.05,331.0
4,ENE,15.09,512.9
4,ESE,13.39,187.4
4,N,18.37,128.6
4,NE,16.19,825.7
4,NNE,17.47,768.5
4,NNW,15.37,46.1
4,NW,17.03,391.6
4,S,20.16,504.0
4,SE,16.12,145.1
4,SSE,17.43,348.7
4,SSW,21.12,675.9
4,SW,18.77,469.3
4,W,21.05,505.1
4,WNW,19.67,570.3
4,WSW,19.49,409.3
5,E,13.21,224.6
5,ENE,13.06,405.0
5,ESE,13.95,306.8
5,N,18.98,284.7
5,NE,15.04,857.5
5,NNE,16.22,908.2
5,NNW,13.75,27.5
5,NW,16.07,144.6
5,S,16.99,441.7
5,SE,13.79,248.2
5,SSE,14.31,243.3
5,SSW,18.09,687.6
5,SW,18.49,462.3
5,W,18.32,403.1
5,WNW,17.23,155.1
5,WSW,17.7,495.7
6,E,12.52,275.5
6,ENE,12.55,489.6
6,ESE,11.42,148.4
6,N,16.01,112.1
6,NE,13.27,464.3
6,NNE,14.88,624.9
6,NNW,15.42,169.6
6,NW,17.14,120.0
6,S,16.09,370.0
6,SE,13.64,163.7
6,SSE,17.14,240.0
6,SSW,17.23,809.7
6,SW,16.27,764.7
6,W,16.49,346.3
6,WNW,17.64,352.8
6,WSW,16.93,491.1
7,E,12.26,233.0
7,ENE,11.81,271.7
7,ESE,11.7,128.7
7,N,14.65,146.5
7,NE,13.31,519.1
7,NNE,15.45,648.9
7,NNW,13.69,164.3
7,NW,12.67,114.0
7,S,12.96,285.1
7,SE,12.31,147.7
7,SSE,11.11,100.0
7,SSW,14.89,565.8
7,SW,14.89,521.1
7,W,14.2,298.1
7,WNW,15.11,272.0
7,WSW,15.46,711.0
8,E,11.68,268.7
8,ENE,11.44,377.6
8,ESE,12.37,123.7
8,N,12.66,113.9
8,NE,11.37,443.6
8,NNE,13.4,348.5
8,NNW,13.0,143.0
8,NW,14.22,113.8
8,S,13.93,376.0
8,SE,10.55,84.4
8,SSE,12.18,146.2
8,SSW,14.12,522.3
8,SW,16.0,863.9
8,W,15.33,291.2
8,WNW,14.32,257.7
8,WSW,12.56,364.3
9,E,13.52,337.9
9,ENE,12.38,309.6
9,ESE,10.85,184.5
9,N,15.8,126.4
9,NE,14.6,408.8
9,NNE,15.3,397.8
9,NNW,14.8,207.2
9,NW,13.91,264.2
9,S,13.99,405.6
9,SE,11.08,155.1
9,SSE,12.0,120.0
9,SSW,15.64,594.2
9,SW,15.6,468.1
9,W,15.68,376.4
9,WNW,16.58,198.9
9,WSW,17.21,481.9
10,E,12.33,74.0
10,ENE,13.85,207.8
10,ESE,12.06,156.8
10,N,16.01,320.2
10,NE,16.24,276.0
10,NNE,13.29,239.2
10,NNW,15.54,264.1
10,NW,15.43,277.7
10,S,16.46,526.7
10,SE,11.88,190.1
10,SSE,12.89,232.1
10,SSW,18.26,639.2
10,SW,16.15,565.3
10,W,17.82,659.5
10,WNW,15.51,341.3
10,WSW,15.42,632.3
11,E,10.42,41.7
11,ENE,10.95,87.6
11,ESE,13.36,93.5
11,N,16.91,169.1
11,NE,11.62,104.6
11,NNE,15.9,206.7
11,NNW,16.88,320.7
11,NW,15.45,293.6
11,S,16.03,545.0
11,SE,12.83,128.3
11,SSE,14.83,237.3
11,SSW,16.68,1101.1
11,SW,15.71,455.5
11,W,17.05,801.2
11,WNW,18.42,460.5
11,WSW,18.24,674.7
12,E,15.09,120.7
12,ENE,15.94,111.6
12,ESE,12.99,129.9
12,N,13.67,150.4
12,NE,15.18,75.9
12,NNE,15.08,196.0
12,NNW,13.54,216.6
12,NW,14.99,494.8
12,S,15.57,451.4
12,SE,13.51,94.6
12,SSE,14.57,174.8
12,SSW,16.42,722.7
12,SW,14.64,556.2
12,W,16.43,1068.1
12,WNW,14.98,389.4
12,WSW,17.76,728.3
