Index,Month,Race,Count
0,2015-01,Unknown,6
1,2015-01,Asian,4
2,2015-01,Black,26
3,2015-01,Hispanic,21
4,2015-01,Native,3
5,2015-01,White,58
6,2015-02,Unknown,9
7,2015-02,Asian,1
8,2015-02,Black,29
9,2015-02,Hispanic,19
10,2015-02,White,59
11,2015-03,Unknown,11
12,2015-03,Asian,2
13,2015-03,Black,42
14,2015-03,Hispanic,18
15,2015-03,Native,3
16,2015-03,White,74
17,2015-04,Unknown,7
18,2015-04,Asian,2
19,2015-04,Black,41
20,2015-04,Hispanic,22
21,2015-04,Native,3
22,2015-04,White,64
23,2015-05,Unknown,17
24,2015-05,Asian,1
25,2015-05,Black,31
26,2015-05,Hispanic,8
27,2015-05,Other,2
28,2015-05,White,67
29,2015-06,Unknown,6
30,2015-06,Black,23
31,2015-06,Hispanic,24
32,2015-06,Native,1
33,2015-06,White,49
34,2015-07,Unknown,8
35,2015-07,Asian,1
36,2015-07,Black,31
37,2015-07,Hispanic,25
38,2015-07,Native,2
39,2015-07,Other,2
40,2015-07,White,83
41,2015-08,Unknown,15
42,2015-08,Black,33
43,2015-08,Hispanic,23
44,2015-08,White,65
45,2015-09,Unknown,12
46,2015-09,Asian,2
47,2015-09,Black,29
48,2015-09,Hispanic,20
49,2015-09,Native,7
50,2015-09,Other,1
51,2015-09,White,59
52,2015-10,Unknown,14
53,2015-10,Asian,1
54,2015-10,Black,35
55,2015-10,Hispanic,23
56,2015-10,White,54
57,2015-11,Asian,1
58,2015-11,Black,27
59,2015-11,Hispanic,20
60,2015-11,Other,1
61,2015-11,White,62
62,2015-12,Unknown,9
63,2015-12,Asian,4
64,2015-12,Black,31
65,2015-12,Hispanic,23
66,2015-12,Other,4
67,2015-12,White,57
